Date,Open,High,Low,Close,Adj Close,Volume
2018-04-12,32.820000,33.150002,32.305000,32.450001,29.105850,849837
2018-04-13,32.540001,32.715000,32.230000,32.529999,29.177605,505986
2018-04-16,32.669998,33.049999,32.349998,32.580002,29.222454,496807
2018-04-17,32.799999,33.330002,32.755001,33.000000,29.599167,728523
2018-04-18,33.220001,33.650002,33.185001,33.299999,29.868252,530239
2018-04-19,33.465000,33.465000,32.680000,33.040001,29.635046,672840
2018-04-20,33.055000,33.240002,32.619999,32.700001,29.330084,487396
2018-04-23,32.950001,33.000000,31.900000,32.020000,28.720163,1011838
2018-04-24,32.119999,32.255001,31.135000,31.540001,28.289629,941859
2018-04-25,31.540001,31.930000,31.100000,31.500000,28.253750,827263
2018-04-26,31.674999,31.840000,31.180000,31.600000,28.343445,778434
2018-04-27,32.180000,32.189999,31.600000,31.684999,28.419683,633999
2018-04-30,31.799999,32.345001,31.725000,32.285000,28.957855,760094
2018-05-02,32.270000,33.330002,32.270000,33.160000,29.742680,480172
2018-05-03,32.360001,33.325001,32.009998,33.080002,29.670923,1091177
2018-05-04,33.150002,33.340000,32.779999,33.340000,29.904129,697162
2018-05-07,33.380001,33.439999,33.000000,33.099998,29.688860,433042
2018-05-08,33.000000,33.314999,32.520000,33.264999,29.836855,798297
2018-05-09,33.285000,33.285000,32.930000,33.000000,29.599167,480417
2018-05-10,33.005001,33.220001,32.820000,33.220001,29.796499,359448
2018-05-11,33.200001,33.820000,33.110001,33.599998,30.137337,500270
2018-05-14,33.724998,33.959999,33.330002,33.959999,30.460234,530188
2018-05-15,33.750000,34.195000,33.435001,34.195000,30.671015,520757
2018-05-16,34.189999,34.235001,33.634998,33.799999,30.316719,470280
2018-05-17,33.799999,33.805000,33.110001,33.465000,30.016247,516500
2018-05-18,33.555000,34.139999,33.369999,34.139999,30.621685,466777
2018-05-21,34.139999,34.139999,34.139999,34.139999,30.621685,0
2018-05-22,34.200001,34.375000,33.889999,34.115002,30.599262,387308
2018-05-23,34.075001,34.099998,33.224998,33.500000,30.047642,636623
2018-05-24,33.619999,33.950001,33.369999,33.424999,29.980368,455488
2018-05-25,33.505001,33.775002,33.195000,33.400002,29.957945,510846
2018-05-28,33.685001,33.889999,33.259998,33.695000,30.222546,204418
2018-05-29,33.680000,33.875000,33.200001,33.775002,30.294302,650686
2018-05-30,33.520000,33.785000,33.340000,33.349998,29.913097,415882
2018-05-31,33.424999,34.005001,33.305000,34.005001,30.500599,1648594
2018-06-01,34.005001,34.005001,33.439999,33.439999,29.993822,379080
2018-06-04,33.724998,34.230000,33.400002,34.040001,30.531994,523022
2018-06-05,34.130001,35.000000,34.110001,34.840000,31.249550,652229
2018-06-06,35.555000,35.599998,34.849998,35.500000,31.841528,763650
2018-06-07,35.900002,35.900002,35.084999,35.410000,31.760807,779734
2018-06-08,35.294998,35.474998,34.650002,35.200001,31.572449,752562
2018-06-11,35.040001,35.535000,35.040001,35.535000,31.872921,636760
2018-06-12,35.560001,36.000000,35.419998,36.000000,32.290005,1733863
2018-06-13,36.095001,36.290001,35.240002,35.345001,31.702505,971281
2018-06-14,35.509998,36.154999,35.334999,35.884998,32.186855,750144
2018-06-15,36.049999,36.389999,35.485001,36.209999,32.478355,3696328
2018-06-18,36.200001,36.400002,36.005001,36.259998,32.523205,475257
2018-06-19,35.799999,36.445000,35.465000,36.209999,32.478355,643556
2018-06-20,36.494999,36.985001,36.340000,36.555000,32.787807,752896
2018-06-21,36.575001,37.285000,36.549999,36.709999,32.926830,1158618
2018-06-22,36.900002,36.970001,36.529999,36.939999,33.133129,632966
2018-06-25,36.990002,37.195000,34.939999,35.549999,31.886377,870736
2018-06-26,35.639999,35.889999,35.020000,35.099998,31.482754,687421
2018-06-27,35.055000,36.110001,33.330002,35.439999,31.787714,1259529
2018-06-28,35.480000,36.310001,35.355000,35.700001,32.020916,833574
2018-06-29,36.040001,36.195000,35.134998,35.355000,31.711468,830662
2018-07-02,35.154999,35.705002,34.520000,35.430000,31.778742,784042
2018-07-03,35.750000,35.919998,35.230000,35.474998,31.819099,670126
2018-07-04,35.525002,35.849998,34.900002,35.709999,32.029888,453499
2018-07-05,35.799999,36.325001,35.400002,36.325001,32.581505,731726
2018-07-06,36.400002,36.910000,36.220001,36.910000,33.106220,627593
2018-07-09,36.980000,37.514999,36.945000,37.480000,33.617481,767934
2018-07-10,37.500000,38.250000,37.415001,38.049999,34.128742,1029256
2018-07-11,37.820000,38.410000,37.669998,38.200001,34.263279,832497
2018-07-12,38.334999,39.064999,38.285000,38.660000,34.675880,888087
2018-07-13,38.000000,38.099998,37.424999,37.814999,33.917957,738885
2018-07-16,37.740002,38.099998,37.380001,37.750000,33.859653,525894
2018-07-17,37.689999,37.744999,36.945000,37.250000,33.411182,849013
2018-07-18,37.459999,38.200001,37.165001,37.845001,33.944859,891889
2018-07-19,37.900002,37.985001,37.200001,37.470001,33.608509,773244
2018-07-20,37.505001,38.095001,37.470001,37.849998,33.949352,705957
2018-07-23,37.750000,38.500000,37.605000,38.485001,34.518909,671017
2018-07-24,38.520000,38.860001,38.209999,38.450001,34.487518,643075
2018-07-25,38.400002,38.880001,38.345001,38.849998,34.846294,700184
2018-07-26,39.130001,39.490002,38.564999,39.169998,35.133312,850850
2018-07-27,39.160000,39.450001,38.799999,39.150002,35.115379,608967
2018-07-30,37.755001,38.889999,37.500000,38.375000,34.420246,1223372
2018-07-31,38.485001,38.615002,38.095001,38.095001,34.169098,938279
2018-08-01,38.200001,38.445000,37.980000,38.150002,34.218430,597539
2018-08-02,37.950001,38.230000,37.799999,38.150002,34.218430,643022
2018-08-03,38.250000,38.494999,37.939999,38.459999,34.496483,450430
2018-08-06,38.560001,38.794998,38.230000,38.500000,34.532364,542627
2018-08-07,38.294998,38.384998,37.895000,37.959999,34.048008,754957
2018-08-08,37.869999,38.099998,37.700001,37.855000,33.953831,491170
2018-08-09,37.855000,38.275002,37.689999,38.195000,34.258797,535705
